level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	442	585	-1	
2	1	1	0	0	0	8	4	426	83	-1	
3	1	1	1	0	0	8	4	426	83	-1	
4	1	1	1	1	0	8	4	426	83	-1	
5	1	1	1	1	1	8	4	426	83	95.000000	 
2	1	2	0	0	0	47	91	338	16	-1	
3	1	2	1	0	0	47	91	338	16	-1	
4	1	2	1	1	0	47	91	338	16	-1	
5	1	2	1	1	1	47	92	2	5	0.000000	b
5	1	2	1	1	2	91	92	35	14	17.964622	S
5	1	2	1	1	3	168	91	14	16	41.468201	o
5	1	2	1	1	4	200	91	25	15	43.714211	o
5	1	2	1	1	5	248	92	41	14	37.970001	kb
5	1	2	1	1	6	299	92	14	7	47.953438	o
5	1	2	1	1	7	320	92	6	6	60.447926	e
5	1	2	1	1	8	333	92	52	7	38.606182	el
2	1	3	0	0	0	45	126	172	15	-1	
3	1	3	1	0	0	45	126	172	15	-1	
4	1	3	1	1	0	45	126	172	15	-1	
5	1	3	1	1	1	45	126	85	14	9.243782	e
2	1	4	0	0	0	62	248	15	13	-1	
3	1	4	1	0	0	62	248	15	13	-1	
4	1	4	1	1	0	62	248	15	13	-1	
5	1	4	1	1	1	62	248	15	13	95.000000	 
2	1	5	0	0	0	91	271	16	3	-1	
3	1	5	1	0	0	91	271	16	3	-1	
4	1	5	1	1	0	91	271	16	3	-1	
5	1	5	1	1	1	91	271	16	3	95.000000	 
2	1	6	0	0	0	257	124	146	230	-1	
3	1	6	1	0	0	257	124	146	230	-1	
4	1	6	1	1	0	257	124	146	230	-1	
5	1	6	1	1	1	257	124	146	230	95.000000	 
2	1	7	0	0	0	58	382	104	15	-1	
3	1	7	1	0	0	58	382	104	15	-1	
4	1	7	1	1	0	58	382	104	15	-1	
5	1	7	1	1	1	58	382	104	15	95.000000	 
2	1	8	0	0	0	83	416	38	7	-1	
3	1	8	1	0	0	83	416	38	7	-1	
4	1	8	1	1	0	83	416	38	7	-1	
5	1	8	1	1	1	83	416	38	7	95.000000	 
2	1	9	0	0	0	145	434	17	5	-1	
3	1	9	1	0	0	145	434	17	5	-1	
4	1	9	1	1	0	145	434	17	5	-1	
5	1	9	1	1	1	145	434	17	5	95.000000	 
2	1	10	0	0	0	119	487	7	12	-1	
3	1	10	1	0	0	119	487	7	12	-1	
4	1	10	1	1	0	119	487	7	12	-1	
5	1	10	1	1	1	119	487	7	12	95.000000	  
2	1	11	0	0	0	46	534	179	22	-1	
3	1	11	1	0	0	46	534	179	22	-1	
4	1	11	1	1	0	52	534	159	13	-1	
5	1	11	1	1	1	52	542	12	3	19.123215	o
5	1	11	1	1	2	116	542	8	3	41.896881	e
5	1	11	1	1	3	160	540	12	5	29.147705	s
4	1	11	1	2	0	46	549	179	7	-1	
5	1	11	1	2	1	46	549	27	5	23.047348	e
5	1	11	1	2	2	91	549	10	5	5.379341	S
5	1	11	1	2	3	116	549	13	5	43.857307	T
5	1	11	1	2	4	135	549	90	7	29.985489	b
2	1	12	0	0	0	149	533	7	3	-1	
3	1	12	1	0	0	149	533	7	3	-1	
4	1	12	1	1	0	149	533	7	3	-1	
5	1	12	1	1	1	149	533	7	3	95.000000	 
2	1	13	0	0	0	22	575	308	10	-1	
3	1	13	1	0	0	22	575	308	10	-1	
4	1	13	1	1	0	22	575	308	10	-1	
5	1	13	1	1	1	22	575	308	10	95.000000	 
2	1	14	0	0	0	396	129	6	221	-1	
3	1	14	1	0	0	396	129	6	221	-1	
4	1	14	1	1	0	396	129	6	221	-1	
5	1	14	1	1	1	396	129	6	221	95.000000	 
