level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	5622	7438	-1	
2	1	1	0	0	0	583	1164	4314	198	-1	
3	1	1	1	0	0	583	1164	4314	198	-1	
4	1	1	1	1	0	583	1164	4314	98	-1	
5	1	1	1	1	1	583	1172	265	65	92.424805	Thanks
5	1	1	1	1	2	884	1193	65	42	90.848457	to
5	1	1	1	1	3	983	1170	106	64	90.848457	the
5	1	1	1	1	4	1126	1167	526	68	91.619453	Schachenmayr
5	1	1	1	1	5	1681	1171	344	77	92.538956	Company
5	1	1	1	1	6	2058	1164	94	67	91.492798	for
5	1	1	1	1	7	2185	1164	166	67	92.069504	their
5	1	1	1	1	8	2382	1164	243	84	91.989075	helpful
5	1	1	1	1	9	2657	1187	265	62	92.410576	support
5	1	1	1	1	10	2953	1166	75	66	92.893372	of
5	1	1	1	1	11	3051	1166	125	66	92.827179	this
5	1	1	1	1	12	3207	1166	195	75	89.044670	book,
5	1	1	1	1	13	3434	1167	129	67	91.814743	and
5	1	1	1	1	14	3594	1167	95	67	92.165619	for
5	1	1	1	1	15	3718	1168	287	85	91.494774	working
5	1	1	1	1	16	4035	1169	110	70	91.862427	the
5	1	1	1	1	17	4176	1169	252	72	91.137474	clothes
5	1	1	1	1	18	4458	1174	127	68	93.135429	and
5	1	1	1	1	19	4616	1174	281	88	91.952057	knitting
4	1	1	1	2	0	583	1271	2693	91	-1	
5	1	1	1	2	1	583	1302	305	60	92.498718	patterns.
5	1	1	1	2	2	924	1277	139	65	90.897614	The
5	1	1	1	2	3	1095	1277	254	76	91.705887	designs
5	1	1	1	2	4	1382	1301	103	39	92.876015	are
5	1	1	1	2	5	1519	1274	74	77	93.185387	by
5	1	1	1	2	6	1628	1272	321	67	92.346939	Elisabeth
5	1	1	1	2	7	1985	1272	196	84	91.276321	Kopff
5	1	1	1	2	8	2209	1276	93	73	93.259232	(1)
5	1	1	1	2	9	2340	1271	129	69	90.683479	and
5	1	1	1	2	10	2503	1271	273	67	92.380775	Barbara
5	1	1	1	2	11	2809	1272	312	80	90.663605	Schreyer
5	1	1	1	2	12	3158	1277	118	73	91.870819	(4).
2	1	2	0	0	0	577	1489	1239	191	-1	
3	1	2	1	0	0	577	1489	1239	191	-1	
4	1	2	1	1	0	584	1489	1232	81	-1	
5	1	2	1	1	1	584	1498	346	72	89.585831	Drawings:
5	1	2	1	1	2	970	1491	199	78	92.048515	Sigrid
5	1	2	1	1	3	1206	1493	239	77	84.669403	Witzig,
5	1	2	1	1	4	1483	1489	333	80	92.385773	Hamburg
4	1	2	1	2	0	577	1598	867	82	-1	
5	1	2	1	2	1	577	1609	213	58	91.575760	Cover
5	1	2	1	2	2	824	1602	239	78	91.153381	design:
5	1	2	1	2	3	1106	1599	151	66	91.971428	Dirk
5	1	2	1	2	4	1297	1598	147	67	92.526039	Lieb
2	1	3	0	0	0	598	1703	2158	84	-1	
3	1	3	1	0	0	598	1703	2158	84	-1	
4	1	3	1	1	0	598	1703	2158	84	-1	
5	1	3	1	1	1	598	1710	400	66	88.381172	[ranslation:
